id;numero;libille;description;seuil;duree;periode;frequence;agiminrec;agemaxrec
1;Bedfordshire optimizing South;optical Tasty override;silver;90251;92877;TRIMESTRIEL;91917;78830;42060
2;migration homogeneous Qatar;strategize Salvador;lavender Handcrafted quantifying;83256;59454;MENSUEL;66167;17891;92007
3;Associate;executive;Salad Factors;71016;68719;HEBDOMADAIRE;7892;12937;84851
4;Steel Triple-buffered Pound;Directives;Account;25827;13715;HEBDOMADAIRE;68355;1961;92592
5;Shoes;Salad;Centralized Borders;93736;94690;TRIMESTRIEL;51420;72176;93933
6;Account compelling;Chips portals Intelligent;firewall open-source Metal;28613;20962;HEBDOMADAIRE;37039;7623;89493
7;Intelligent;National;Officer orchid De-engineered;39625;36127;PONCTUEL;72302;28705;38860
8;application;uniform transmitting Iraqi;Estonia City collaborative;37079;1719;TRIMESTRIEL;26771;70550;65762
9;quantifying Concrete;bus Tasty;purple Throughway Dynamic;40210;61758;HEBDOMADAIRE;65333;45536;58857
10;Security Seamless;bluetooth auxiliary Avon;Riyal mobile Assurance;17553;45513;HEBDOMADAIRE;74006;98209;71720
