id;type_creneau;jour;deb;fin
1;REPETETIF;MARDI;2021-05-19T23:30:18;2021-05-20T05:23:49
2;REPETETIF;LUNDI;2021-05-20T13:29:22;2021-05-20T03:22:18
3;REPETETIF;JEUDI;2021-05-20T13:03:34;2021-05-19T17:21:29
4;REPETETIF;VENDREDI;2021-05-20T06:05:46;2021-05-20T16:25:40
5;PONCTUEL;MERCREDI;2021-05-19T23:42:17;2021-05-20T07:39:43
6;REPETETIF;MARDI;2021-05-20T06:12:17;2021-05-20T04:22:15
7;REPETETIF;SAMEDI;2021-05-20T08:41:20;2021-05-19T23:31:47
8;REPETETIF;MERCREDI;2021-05-20T05:08:35;2021-05-20T03:22:55
9;PONCTUEL;DIMANCHE;2021-05-20T03:11:47;2021-05-20T05:57:51
10;REPETETIF;MERCREDI;2021-05-20T03:08:23;2021-05-19T20:35:44
