id;libille;description;ouverture_inscription;fermeture_inscription;seuil_inscrits;tarif;category_id
1;Shirt olive;grey;2021-06-11T19:31:17;2021-06-12T00:56:28;86594;87478;1
2;Berkshire;Interactions Australia Parkway;2021-06-12T11:35:28;2021-06-12T15:11:30;71920;58814;2
3;Awesome Tajikistan incubate;Cambridgeshire;2021-06-12T12:35:42;2021-06-12T12:07:44;41585;71734;3
4;copy facilitate;SMS;2021-06-12T05:35:52;2021-06-12T08:01:52;22147;61598;4
5;Health Chief;architectures;2021-06-12T11:40:12;2021-06-12T00:21:43;71157;82390;5
6;Licensed Libyan;Clothing;2021-06-12T08:36:05;2021-06-12T11:21:14;8283;35592;6
7;connect;Keyboard;2021-06-11T22:34:21;2021-06-12T17:55:34;32711;36614;7
8;Buckinghamshire Berkshire;Towels Plastic;2021-06-11T19:35:21;2021-06-12T11:58:24;6553;86735;8
9;Handmade;Buckinghamshire Frozen calculate;2021-06-12T09:15:41;2021-06-12T09:45:23;17485;4987;9
10;turn-key Operations;invoice Hat;2021-06-12T09:39:53;2021-06-12T00:26:41;54923;5010;10
