id;numero;libille;lasession;nbr_apprenant
1;Via Incredible SSL;back-end;Accounts;71870
2;complexity Wooden;Bedfordshire;unleash Solutions;98625
3;Unbranded;Data Product;holistic Garden leverage;8547
4;invoice Shoes;Louisiana;Zambia distributed;34753
5;Planner;Anguilla driver synthesize;Front-line Argentina copy;44987
6;Officer;Central programming;Future;98033
7;Metrics bypass drive;Human Dakota District;Granite parse;67095
8;synthesize;Borders;process Sharable;787
9;Fords revolutionary;Borders;Pants;79236
10;Concrete communities;Turkish Generic clear-thinking;Ohio;89564
