id;code;description;tarif;debut;fin
1;Rupee optimize feed;best-of-breed Specialist holistic;323;2021-05-18T23:28:53;2021-05-18T19:46:56
2;Frozen Colombia;Internal monitor;5224;2021-05-18T15:36:32;2021-05-18T23:40:13
3;deliverables;moratorium programming;97442;2021-05-19T09:26:01;2021-05-18T23:21:05
4;Sleek turn-key incentivize;Islands navigating Granite;37616;2021-05-18T17:41:44;2021-05-19T10:01:22
5;withdrawal olive Alley;Stream Alaska Representative;98973;2021-05-18T17:05:45;2021-05-18T22:55:05
6;Chair;holistic wireless;34328;2021-05-19T13:17:34;2021-05-18T22:22:08
7;card USB;Grocery Future;22623;2021-05-18T16:39:52;2021-05-19T11:29:49
8;Illinois Personal;Assistant;69520;2021-05-18T15:32:57;2021-05-19T08:56:35
9;payment Ergonomic;Car payment;71497;2021-05-19T12:10:05;2021-05-19T01:22:48
10;Corporate;value-added calculate Rand;81720;2021-05-18T23:20:48;2021-05-19T11:55:50
